Model\Vector,Onehot,Wordfreq,Twovec,Tfidf,Outofdict
KNN,0.3666666666666667,0.33333333333333337,0.4,0.30000000000000004,0.2666666666666667
Logistic,0.3666666666666667,0.4,0.43333333333333335,0.0,0.5
RandomForest,0.4666666666666667,0.5666666666666667,0.43333333333333335,0.5333333333333333,0.4
SVM,0.0,0.0,0.2666666666666667,0.0,0.0
NBayes,0.6,0.6666666666666667,0.5333333333333333,0.5,0.6333333333333333
